City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,phetchabun,16.25,101.0833,21.15,77,100,2.8,TH,1700182235
1,mount gambier,-37.8333,140.7667,16.2,51,73,3.11,AU,1700182235
2,st. john's,47.5649,-52.7093,0.54,80,100,2.57,CA,1700182192
3,blackmans bay,-43.0167,147.3167,18.62,51,6,0.72,AU,1700182236
4,papatowai,-46.5619,169.4708,8.17,90,100,4.57,NZ,1700182236
5,puerto ayora,-0.7393,-90.3518,23.08,98,99,2.24,EC,1700182236
6,ilulissat,69.2167,-51.1,-9.99,79,0,1.54,GL,1700182237
7,adamstown,-25.066,-130.1015,20.95,85,100,3.63,PN,1700182237
8,edinburgh of the seven seas,-37.0676,-12.3116,13.96,73,100,8.14,SH,1700182237
9,bethel,41.3712,-73.414,12.02,65,0,0.45,US,1700182221
10,aasiaat,68.7098,-52.8699,-13.43,99,93,2.52,GL,1700182238
11,margate,51.3813,1.3862,7.61,90,100,2.24,GB,1700182238
12,tomatlan,19.9333,-105.25,25.31,87,4,0.87,MX,1700182238
13,dunedin,-45.8742,170.5036,8.78,81,100,5.81,NZ,1700182238
14,katsuura,35.1333,140.3,15.01,81,100,9.44,JP,1700182239
15,puerto baquerizo moreno,-0.9,-89.6,23.12,91,99,5.16,EC,1700182239
16,pandan,14.0453,124.1694,27.2,84,100,8.34,PH,1700182239
17,vilyuchinsk,52.9306,158.4028,-3.85,80,100,3.93,RU,1700182240
18,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1700182240
19,waitangi,-43.9535,-176.5597,13.58,97,100,9.72,NZ,1700182240
20,celestun,20.8667,-90.4,24.67,77,2,5.27,MX,1700182241
21,planadas,3.197,-75.6451,25.24,88,100,2.81,CO,1700182241
22,badger,64.8,-147.5333,-4.8,89,75,0.0,US,1700182241
23,olonkinbyen,70.9221,-8.7187,-2.56,78,100,2.85,SJ,1700182241
24,yellowknife,62.456,-114.3525,-5.33,97,100,7.2,CA,1700181989
25,hawaiian paradise park,19.5933,-154.9731,24.39,89,100,4.12,US,1700181991
26,grytviken,-54.2811,-36.5092,0.65,89,100,5.15,GS,1700182242
27,usogorsk,63.4106,48.6872,-10.55,96,95,3.32,RU,1700182242
28,veraval,20.9,70.3667,23.86,49,5,4.89,IN,1700182242
29,vernon,50.2581,-119.2691,2.64,79,15,1.54,CA,1700182243
30,hastings,50.8552,0.5729,7.66,54,30,4.37,GB,1700182243
31,imzouren,35.1463,-3.8497,13.6,72,0,0.51,MA,1700182243
32,watsa,3.0372,29.5355,18.34,99,94,1.41,CD,1700182243
33,puerto natales,-51.7236,-72.4875,2.98,95,36,2.23,CL,1700182244
34,bilibino,68.0546,166.4372,-21.12,100,100,0.12,RU,1700182244
35,coari,-4.085,-63.1414,30.65,42,82,0.6,BR,1700182244
36,port-aux-francais,-49.35,70.2167,4.28,94,100,11.12,TF,1700182244
37,stanley,54.868,-1.6985,4.87,94,100,3.16,GB,1700182163
38,port lincoln,-34.7333,135.8667,16.71,63,13,6.75,AU,1700182245
39,codrington,-38.2667,141.9667,16.07,53,93,5.44,AU,1700182245
40,vel'sk,61.0701,42.0983,-8.18,91,15,2.68,RU,1700182245
41,whitehorse,60.7161,-135.0538,2.43,51,20,6.17,CA,1700182246
42,richards bay,-28.783,32.0377,20.85,83,100,5.18,ZA,1700182246
43,owensboro,37.7742,-87.1133,20.03,63,100,2.57,US,1700182246
44,i-n-salah,27.1935,2.4607,20.8,32,12,6.27,DZ,1700182247
45,adel,31.1371,-83.4235,18.2,96,100,0.45,US,1700182247
